funcion,nombre,organisacion
consejal,Alberto Recarte García Andrade,Partido Popular
consejal,Alejandro Couceiro Ojeda,CEIM
consejal,Ángel Eugenio Gómez del Pulgar,PSOE
consejal,Angel Rizaldos González,Izquierda Unida
consejal,Antonio Cámara Eguinoa,Partido Popular
consejal,Antonio Rey de Viñas Sánchez-Majestad,CC OO
consejal,Antonio Romero Lázaro,PSOE
consejal,Arturo Luis Fernández Álvarez,CEIM
consejal,Beltrán Gutiérrez Moliner,Partido Popular
consejal,Cándido Cerón Escudero,Partido Popular
consejal,Darío Fernández Yruegas Moro,Partido Popular
consejal,Eduardo Torres Posada,UGT
consejal,Estanislao Rodríguez Ponga Salamanca,Partido Popular
consejal,Félix Manuel Sánchez Acal,UGT
consejal,Fernando Serrano Antón,Partido Popular
consejal,Francisco Baquero Noriega,CC OO
consejal,Francisco Javier López Madrid,CEIM
consejal,Francisco José Moure Bourio,Partido Popular
consejal,Francisco José Pérez Fernández,PSOE
consejal,Gabriel María Moreno Flores,CC OO
consejal,Gerardo Díaz Ferrán,CEOE
consejal,Gonzalo Martín Pascual,UGT
consejal,Guillermo Ricardo Marcos Guerrero,Patronal (Unipyme)
consejal,Ignacio de Navascues Cobián,Conf. de Cuadros
consejal,Ignacio del Río García de Sola,Partido Popular
consejal,Ignacio Varela Díaz,PSOE
consejal,Javier de Miguel Sánchez,Partido Popular
consejal,Jesús Pedroche Nieto,Partido Popular
consejal,Joaquín García Pontes,PSOE
consejal,Jorge Gómez Moreno,PSOE
consejal,Jorge Rábago Juan Aracil,Partido Popular
consejal,José Acosta Cubero,PSOE
consejal,José Antonio Moral Santín,Izquierda Unida
consejal,José Caballero Domínguez,PSOE
consejal,José Luis Luis Acero Benedicto,Izquierda Unida
consejal,José Manuel Fernández Norniella,Partido Popular
consejal,José María Arteta Vico,PSOE
consejal,José María Buenaventura Zabala,Partido Popular
consejal,José María de la Riva Amez,PSOE
consejal,José María Fernández del Río,Partido Popular
consejal,José Nieto Antolinos,Partido Popular
consejal,José Ricardo Martínez Castro,UGT
consejal,Juan Emilio Iranzo Martín,Partido Popular
consejal,Juan José Azcona Olondriz,CC OO
consejal,Juan Juan Gómez Castañeda,Izquierda Unida
consejal,Luis Blasco Bosqued,Partido Popular
consejal,Manuel José Rodríguez González,Partido Popular
consejal,María Carmen Cafranga Cavestany,Partido Popular
consejal,María Enedina Alvárez Gayol,PSOE
consejal,Mercedes de la Merced (fallecida),Partido Popular
consejal,Mercedes Rojo Izquierdo,Partido Popular
consejal,Miguel Ángel Abejón Resa,UGT
consejal,Miguel Ángel Araujo Serrano,Partido Popular
consejal,Miguel Corsini Freese,Partido Popular
consejal,Miguel Muñiz de las Cuevas,PSOE
consejal,Pablo Abejas Juárez,Partido Popular
consejal,Pedro Bedia Pérez,CC OO
consejal,Pedro Bugidos Garay,Comisión de Control
consejal,Rafael Pradillo Moreno de la Santa,Partido Popular
consejal,Ramón Espinar Gallego,PSOE
consejal,Ricardo Romero de Tejada y Picatoste,Partido Popular
consejal,Rodolfo Benito Valenciano,CC OO
consejal,Rubén Cruz Orive,Izquierda Unida
consejal,Santiago Javier Sánchez Carlos,PSOE
consejal,Virgilio Zapatero Gómez,PSOE
directivo,Ildefonso José Sánchez Barcoj,
directivo,Ricardo Morado Iglesias,
directivo,Miguel Blesa de la Parra,
directivo,Ramón Ferraz Ricarte,
directivo,Matías Amat Roca,
directivo,Mariano Pérez Claver,
directivo,Enrique de la Torre Martínez,
directivo,Juan Manuel Astorqui Portera,
directivo,Carmen Contreras Gómez,
directivo,Carlos María Martínez Martínez,
directivo,Carlos Vela García,
directivo,Rafael Spottorno Díaz Caro,
directivo,Luis Gabarda Durán,
directivo,Ramón Martínez Vilches,
directivo,María Elena Gil García,
